ChangeDue,Discounts,Subtotal,GrandTotal,ExternalId
5,,3500,35,36908229
,,8400,84,36903861
13,,4700,47,36903513
15,,6500,65,36902118
15.5,,18450,184.5,36901938
14,,2600,26,36892051
15,,2500,25,36890846
,,4800,48,36889607
8,12.02,28402,272,36884183
10,,3000,30,
1,,10900,109,36880068
4,,1600,16,36875609
13.32,17.32,2400,6.68,36874807
60,,4000,40,36874569
,,4000,40,36873990
3,,6700,67,36873684
,9.99,5000,40.01,36872560
,,3000,30,
,9.99,5000,40.01,36870812
,,3000,30,
15,,2500,25,36864894
8,4,3600,32,36861896
15,,20500,205,36858274
,,4500,45,36853308
1,,5900,59,36853218
,,6000,60,36848794
,49.95,45000,400.05,36848386
15,,3500,35,36848100
,,6200,62,36837706
5.8,5.8,2000,14.2,36836702
10,,5000,50,36831927
6,,4400,44,36830278
5,,1500,15,36823934
1.34,2.34,5100,48.66,36823001
5,,9500,95,36822748
5,0.41,9541,95,36821159
,9.98,5000,40.02,
,,1600,16,36820179
,-1.25,11875,120,36820087
,30.15,15015,120,36811962
,54.1,6410,10,36810129
12,,12800,128,36809559
14.99,6.99,17200,165.01,36808790
59,,4100,41,36808433
,,7000,70,36803939
15.98,19.98,12400,104.02,36802237
26.98,19.98,19300,173.02,36802087
,5,2500,20,
,,2000,20,36798516
,,8700,87,36798071
,9.99,8500,75.01,36797207
0.18,,17982,179.82,36796896
4,,13600,136,36771444
10.99,6.99,9600,89.01,36771327
15,,500,5,
15,,8500,85,36765353
,9.98,5000,40.02,36765222
5,,13500,135,36764273
6,0.36,10436,104,36762197
,,3000,30,
1,,7900,79,36759587
,9.98,5000,40.02,
15,,4500,45,36748897
,0.6,2560,25,36746476
16,0.24,26424,264,36740034
18,,2200,22,36739680
6,,1400,14,36739352
4.98,19.98,13500,115.02,36739604
,4.99,2500,20.01,
,,2400,24,36736925
6.79,,15321,153.21,36733591
,,1700,17,36730888
,,2000,20,36728660
5,,9500,95,36726674
0.05,100.05,35000,249.95,36723888
,9.99,5000,40.01,36722561
,,2500,25,36719722
4,,1600,16,36718567
,,500,5,36713769
,9.99,5000,40.01,36712304
8,,1200,12,36712122
4,,1600,16,36710704
,,14118,141.18,36710379
5.25,,13475,134.75,36710545
,,7000,70,36707558
1.69,21.69,4500,23.31,
5,10,12500,115,36704964
,,14200,142,36702409
,29.97,15000,120.03,36702453
14,,2600,26,36700437
46,10.05,6405,54,36697258
,,500,5,
,,2000,20,36690133
,,2000,20,36689456
13,,4700,47,36688150
,,4000,40,
,19.98,16000,140.02,36690011
15,,4500,45,
5,,5500,55,36681097
30,,7000,70,36680803
,9.99,5000,40.01,36680135
16,,2400,24,36677939
15,,2500,25,36677217
10,,3000,30,
19,,6100,61,36675130
,,2500,25,36674493
14.79,,2521,25.21,36672289
5,,1500,15,36671184
14,,300,3,36670141
,,2000,20,36669990
20,,3000,30,
,,500,5,
,,6000,60,36665962
4.93,,2507,25.07,36665353
16.98,19.98,14300,123.02,36662487
15,,2500,25,36661516
5,,3500,35,36660729
3,,7700,77,36659399
,,500,5,
32,,6800,68,36658063
9.79,,5021,50.21,36656262
,9.99,8500,75.01,36653872
3,,7700,77,36652803
66,,3400,34,36650840
1,,6400,64,36648891
5,,3500,35,36644802
,9.99,7600,66.01,36643836
30,,7000,70,36642818
,9.99,5000,40.01,36642403
0.01,20.01,7000,49.99,36639229
5,,3500,35,36638941
5,,5500,55,36635704
,9.99,5000,40.01,36634957
,,18000,180,36634634
,,1500,15,36633794
,,5000,50,36633004
20,,2000,20,36628397
10,,1000,10,
,0.14,2514,25,36627932
8,,13200,132,36626873
17.5,,10250,102.5,36625723
,,2500,25,36625109
5,,1500,15,36623940
,9.99,5000,40.01,36621098
,,1000,10,36617334
15,0.28,2528,25,36617005
,,4000,40,36615205
,23.11,2500,1.89,36614736
,,4000,40,36607535
60,,14000,140,36605314
,,11900,119,36603578
15,,4500,45,36601561
,,4500,45,36599763
57,,4300,43,36596999
4,,5600,56,36595983
,,2000,20,36592943
,9.99,5000,40.01,36591731
36,,6400,64,36590611
,9.99,6000,50.01,36589357
2,,8800,88,36589158
,,1000,10,36588792
,5,2500,20,36584909
10,,5000,50,36584615
10,,7000,70,36584472
,,3000,30,36582777
5,,7500,75,36582651
,,2000,20,36582276
10,,3000,30,36577663
12,,8800,88,36575770
,,1600,16,36575517
10,,1000,10,
15.01,,2499,24.99,36568663
,20.01,7000,49.99,36566353
,9.99,5000,40.01,36565831
,,3000,30,36564907
10,,5000,50,36564573
,,3500,35,36564298
,9.99,5000,40.01,36561268
18,,2200,22,36561409
10,,3000,30,
15,,2500,25,36559085
1,,3900,39,36557611
5,,3500,35,36554484
13.99,9.99,5600,46.01,36553450
,,2000,20,36551889
,,2000,20,36551374
,4.99,2500,20.01,
5,,5500,55,36546624
17,,2300,23,36546212
5,,3500,35,
,19.98,12000,100.02,36542154
0.99,6.99,25100,244.01,36541443
11,,8900,89,36540066
,,500,5,36538264
,,8000,80,
2,,20300,203,36533871
6,,13400,134,36533593
16,10,23400,224,36533233
,,7600,76,36532301
5,,3500,35,36531716
,,500,5,36531326
3,,4700,47,36531198
,,2500,25,36529573
,4.99,2500,20.01,
14,,20600,206,36527673
10,,5000,50,36520341
10,,7000,70,36518474
,,1000,10,
15,,4500,45,36514025
25,,2500,25,36513087
,,2500,25,36511904
15,,2500,25,36510036
,,7000,70,36505810
2,,3800,38,36503933
10,,5000,50,36503212
5,,2500,25,36502879
,9.99,5000,40.01,36502516
,,300,3,36501020
11,,900,9,36500917
,,3500,35,36499746
45,,5500,55,36499109
1,,1900,19,36498838
,5,2500,20,
,4.99,2500,20.01,36494136
,,3000,30,
,,2500,25,36490050
15,,6500,65,36489960
5,,9500,95,36488998
,9.99,7400,64.01,36488712
10,,3000,30,
3,,1700,17,36478626
30,,17000,170,36478489
,,1000,10,36478330
,,2000,20,36471174
10,,3000,30,
10,,3000,30,
,,1000,10,36462131
,2.32,4200,39.68,36461506
2,1.47,13947,138,36462066
,,1000,10,
,5,2500,20,36454770
5,,1500,15,36454104
,36,18000,144,36453517
,,6000,60,36452202
,,6000,60,
,,1500,15,
,,2500,25,36441910
,,2143,21.43,36441618
3,,1200,12,36441277
,,6100,61,36441223
90,,1000,10,
,,4200,42,36439004
1,,2400,24,36437690
,2,700,5,36436844
6,,2400,24,36435328
10,,3000,30,
,,5000,50,36433428
15,,6500,65,36433698
,4.99,3000,25.01,
34,,11600,116,36431478
22,,7800,78,36430248
10,,5000,50,36428546
,,4000,40,36428460
10,,5000,50,36410982
5,,3500,35,36410134
,1.3,14170,140.4,36408593
,,4050,40.5,36406595
5,,9500,95,36401865
,,9000,90,36401074
12,,4800,48,36400975
6,,7400,74,36383463
,4.99,2500,20.01,
10,,7000,70,36380595
,,1000,10,
,,6214,62.14,36379178
6,,6400,64,36377664
10,,5000,50,36375569
45,,5500,55,36373009
,,3000,30,36371540
,5,2500,20,36368980
3.99,9.99,9600,86.01,36366823
,40,14000,100,36366266
,,1400,14,36365918
10,,1000,10,36365057
1,,1900,19,36363488
10,,3000,30,36362236
20,,3000,30,
,,25000,250,36360603
,8,2800,20,36359310
,,8000,80,36358768
2,,6800,68,36356598
,9.98,6000,50.02,
21.99,6.99,8500,78.01,36354390
7,,19300,193,36354159
5,,3500,35,36352915
1,,1900,19,36352451
,,1000,10,36350869
5,,5500,55,36346512
,153.07,58407,431,36342278
,,3000,30,
,,2500,25,36335684
10,,3000,30,
,9.98,5000,40.02,36335362
5,,2500,25,36334419
,,4500,45,36334165
8,,1200,12,36330576
,36,18000,144,36330607
9.72,,5028,50.28,36326476
14.86,,2514,25.14,36325983
3,,1700,17,36323706
75,,2500,25,36321948
11,,4900,49,36320442
,,1000,10,36320221
7.99,9.99,8200,72.01,36319591
10,,1000,10,
2,,9800,98,36318612
8,,3200,32,36316876
8,,1200,12,36315938
14.86,,2514,25.14,36315673
,,10500,105,36309268
,,2000,20,
10,,1000,10,36303117
,,1000,10,
10,,3000,30,
10,,7000,70,36301682
16,,2400,24,36298395
,,2500,25,36293445
,,1400,14,36291296
10,5,1500,10,36291104
10,,3000,30,
15,,2500,25,36286842
5,,3500,35,36286591
10,,7000,70,36284903
,4.99,2500,20.01,
15,,2500,25,36281796
5,,2500,25,36280308
,,4000,40,36279773
9.99,9.99,6000,50.01,36278608
56,,4400,44,36277045
3,,11700,117,36276054
,,2000,20,36275547
,,2000,20,36272904
15,,2500,25,36272440
,,3000,30,
9,,3100,31,36269337
34.86,,2514,25.14,36262328
15,,2500,25,36258370
13.77,5.77,7200,66.23,36249541
10,,5000,50,36247876
4,,7600,76,36248239
,4.99,5000,45.01,36248006
,,1000,10,36246959
,,9000,90,36243941
2,,300,3,36242561
10,,5000,50,36242734
15,,2500,25,36241788
,,3500,35,36236957
75,,2500,25,36236450
15,,2500,25,36236237
,,6000,60,
,,1000,10,36233790
5,,1500,15,36226492
1,,5900,59,36223475
,,7000,70,36220832
,,3500,35,36220237
5,,3500,35,36219120
10,,3000,30,
16,,4400,44,36218537
,,3000,30,
16,,4400,44,36218327
,9.99,5000,40.01,36217419
6,,9400,94,36216642
,,300,3,36215771
3,,1700,17,36215753
,,3000,30,
15,,500,5,
59.99,9.99,5000,40.01,36207532
,,1000,10,36204709
,,3400,34,36203176
,,2100,21,36199106
16,,8400,84,36197220
17,,12300,123,36196473
,,2000,20,36194608
1,,4400,44,36193071
40,,6000,60,36192650
,,9000,90,36191875
,20.01,7000,49.99,36190195
,,3000,30,
,,300,3,36189756
,,3000,30,
,,4000,40,36185989
25,,2500,25,36184897
,,3000,30,
35,,1500,15,36181100
,19,9500,76,36266525
,,2400,24,36180755
14,,2600,26,36176873
,9.99,5000,40.01,36176533
,,22550,225.5,36176472
,,5000,50,36175073
3,,12200,122,36174282
14,,2600,26,36172764
5,,3500,35,36172501
1,,7400,74,36172330
10,,1000,10,36171243
6,,2400,24,36169255
,,18000,180,36169036
3,,1200,12,36166303
15,,4500,45,36165527
,,2000,20,36163569
,2.01,1601,14,36157532
,5,8500,80,36156782
,60,16000,100,36152638
,44,15400,110,36149271
,,1000,10,36147240
,29.98,3002,0.04,
0.86,,914,9.14,36146312
65,,3500,35,
15,,500,5,
,20.1,10010,80,36140294
10,,5000,50,36138923
16,,6400,64,36136475
15,,8500,85,36136004
,,380,3.8,36133860
14,,2600,26,36132522
,,1000,10,
5,,9500,95,36130933
2,,2300,23,36128409
55,,4500,45,36127679
8,,1200,12,36123645
,,1000,10,36123643
,,2000,20,36122252
6,,9400,94,36122051
6,,5400,54,36119543
,,3500,35,36119086
2,,9800,98,36117417
3,,13700,137,36117430
,33.02,6302,30,36116448
15,,2500,25,36112961
,19,9500,76,36111876
17,,4300,43,
4,,1600,16,36108068
13,,4700,47,36106312
11,,4900,49,36104965
,,2000,20,36101601
,6.99,7200,65.01,36099695
,,1000,10,36098709
15.41,11.55,5614,44.59,36097261
5,,3500,35,36095775
3,,1700,17,36094350
20,,16000,160,36094294
5,,1500,15,36091777
,29.98,5998,30,
3,,1700,17,36085718
,,2500,25,36084015
,9.98,7000,60.02,36082794
,,5600,56,36082110
,,2500,25,36079366
,,6000,60,36079176
,,8400,84,36078949
,,10000,100,36078390
,,21000,210,36077620
1,,7900,79,36074960
,,1200,12,36073596
,,3500,35,36072757
38,,6200,62,36071836
,,3500,35,36069789
,,1800,18,36063507
,,2000,20,36055758
13,,4700,47,
,,1000,10,
3,,1700,17,36053097
,,2500,25,36046199
,9.99,5000,40.01,36045092
10,,7000,70,36042356
5,,7500,75,36040386
,4.99,2500,20.01,
,,4000,40,36038964
10,,11000,110,36038341
18,,4200,42,36036923
1,,5400,54,36035972
,,4100,41,36026954
4,,8600,86,36025475
5,,3500,35,36022265
,,2000,20,36020803
,23.11,2500,1.89,36022332
,,2121,21.21,36014287
,,2500,25,36014166
,,2000,20,36012917
,,5064,50.64,36011338
2,,7800,78,36010291
,,1000,10,
5,,1500,15,36008743
10,,1000,10,36007453
,,2200,22,36007108
,,10000,100,36006395
,,900,9,36005454
5,,4500,45,36005367
,,2000,20,
13,,6700,67,35998690
15,,500,5,
15,,2500,25,35993413
7,,3300,33,35992896
,,5100,51,35991960
10,,3000,30,
3,,3700,37,35985825
16,,16400,164,35985391
,9.99,5000,40.01,35983498
,,4000,40,35981954
,4.99,2500,20.01,
10,,5000,50,35979152
,36.09,9609,60,35977500
,20.04,4004,20,35976549
70,,3000,30,35976507
,,500,5,
,,8018,80.18,35973937
,,5000,50,35970137
,,5021,50.21,35968365
16,,2400,24,35967818
10,,3000,30,35964402
,,10000,100,35963837
8.5,,3150,31.5,35961661
,,8000,80,35957482
4.57,,3543,35.43,35956484
90,,1000,10,35952013
,,3000,30,
,,1000,10,
4,,600,6,35944456
,,3000,30,
,,2000,20,35939186
,,3000,30,35936685
,14.97,7500,60.03,
,,2000,20,35934620
1,,900,9,35934426
10,,7000,70,35934283
18.98,19.98,12100,101.02,35932709
,105.23,25523,150,35928198
5,,9500,95,35926060
,19.98,12000,100.02,35925584
,,3500,35,
,,2800,28,35923487
,2.01,3201,30,35921248
,,4400,44,35921123
10,,9000,90,35917536
,,1000,10,35915195
10,,5000,50,35914955
,,3500,35,35914351
74.29,,2571,25.71,35913142
15,,2500,25,35912012
,10.15,3515,25,35910134
15,,2500,25,35909450
,9.99,4999,40,35909359
,,3000,30,35909142
,,6000,60,
3.86,,1614,16.14,35905761
,,6000,60,35904856
29.5,,1050,10.5,35904881
2,,300,3,35900210
8.8,12.8,6400,51.2,35891650
,,1000,10,
,4.99,5500,50.01,
25,,7500,75,35887077
,,6000,60,
,,2000,20,35881484
13,,6700,67,35881588
14,,8600,86,35878651
85,,1500,15,
,20,7000,50,35873846
,,6000,60,35873249
,,12000,120,35873183
7,,3300,33,35872489
6,,3400,34,35870634
,4.99,2500,20.01,
,,1000,10,35869518
,,18000,180,35869393
10,,7000,70,35864590
,9.99,5000,40.01,35863212
,,9500,95,35861511
15,,2500,25,35860628
10,,9000,90,35859155
,,1000,10,
,,500,5,
15,,500,5,
15,,8500,85,35849440
,45.01,12101,76,35849005
17,,300,3,35843655
,,2000,20,35839978
85,,1500,15,35839863
,,7200,72,35836873
15,,2500,25,35833772
,,5000,50,35828009
,,2000,20,35827431
32,,6800,68,35827762
,,500,5,
15,,2500,25,35825020
,,4500,45,35823909
,,3000,30,
,,1000,10,35821604
15,,8500,85,35821405
1,,3400,34,35820164
5,,1500,15,35818720
7,,3300,33,35818592
15,,2500,25,35815798
10,,5000,50,35814191
1,,5900,59,35813954
,,5400,54,35811187
10,,5000,50,35810514
10,,5000,50,35809518
10,,1000,10,
5,,4500,45,35808220
,,11000,110,35807313
,9.98,5000,40.02,35804340
,,4500,45,35803999
,9.98,6200,52.02,35802274
,25.02,4502,20,35800963
2,,1800,18,35796180
,,7500,75,35793592
10,,5000,50,35788971
10,,3000,30,35788387
10,,1000,10,35785723
,,3200,32,35781527
2,,1800,18,35779853
,4.99,2500,20.01,
5,3.01,3801,35,35773372
5,,3500,35,35771458
,,12500,125,35762214
10,,1000,10,35761557
,,2000,20,
5,,9500,95,35758999
15,,4500,45,35758668
,9.99,5000,40.01,35758560
,,2500,25,35758328
5,,3500,35,35758142
40,,6000,60,35754713
,9.99,5000,40.01,35754572
,,900,9,35753850
,,1000,10,35747550
,12.8,6400,51.2,35748534
10,,3000,30,
5,,3500,35,35743841
5,,1500,15,35741896
,,1000,10,35741611
,,2500,25,35733845
,10.06,9706,87,35729447
52,,4800,48,35728956
15,,6500,65,35728298
,,18000,180,35727997
,11.56,7000,58.44,35725814
3.1,23.1,10000,76.9,35725682
,,3000,30,
,,2000,20,35723901
,14.99,9499,80,35722289
,,7000,70,35721121
8,,1200,12,35720945
5,,3500,35,35716345
,,5000,50,35714786
,9.99,5000,40.01,35708745
,,7500,75,
,40.08,8008,40,35707000
0.01,10.01,1000,-0.01,
,,2000,20,
2,,300,3,35687076
5,,1500,15,35686507
11,,12900,129,35685742
,10,5000,40,35681126
,10,1000,,
,23.1,5000,26.9,35676953
5,,3500,35,35675504
,25.03,5503,30,35675449
,15.04,2504,10,35674860
,12.8,6400,51.2,35673670
,9.98,5000,40.02,
,,2000,20,35662939
6,,3400,34,35662498
15,,6500,65,35652896
8,,1200,12,35651861
14.64,,2536,25.36,35651169
5,,3500,35,35651073
,60,21000,150,35650615
,,3000,30,
8,,1200,12,35649189
,,2000,20,35647983
10,,7000,70,35647917
,,22100,221,35645530
5,,13500,135,35644935
5,,1500,15,
15,,2500,25,35643140
,,2536,25.36,35642747
16,,2400,24,35640573
5,,1500,15,35640410
11.45,,18855,188.55,35640342
3,,700,7,
,,4000,40,35638570
9.99,9.99,6000,50.01,35636153
10,,7000,70,35635791
3,,1700,17,35633516
,,8000,80,35633354
,,4000,40,35630607
,,1000,10,35630306
15,,8500,85,35629660
9.99,4.99,3500,30.01,35629246
15,,2500,25,35628814
,,300,3,35627638
,,2500,25,35627307
16,,12400,124,35621898
5,,5500,55,
,,3000,30,
10,,1000,10,35620648
,,3500,35,35620242
32,,6800,68,35620201
10,,5000,50,35616688
,4.99,9800,93.01,
4.1,,5590,55.9,35612371
1,,1900,19,35612267
10,,3000,30,35610221
,,3000,30,
9.98,29.98,12000,90.02,35608440
,,3000,30,
5,,9500,95,35601624
,,6000,60,35597184
51,,4900,49,35592938
4,,10100,101,35592763
13,,16700,167,35591953
14,,600,6,35590488
,4.99,2500,20.01,
,,4500,45,35586933
4,,1600,16,35583078
,,2500,25,35582711
,,2000,20,35577088
7,,7300,73,35576738
10,,13000,130,35576607
,,18300,183,35576431
2,,3800,38,35573021
3,,3700,37,35571602
,9.99,5000,40.01,35571510
,19.98,10000,80.02,35569225
10,,1000,10,
,25.02,4502,20,35566753
56,,4400,44,35563767
,6.11,10311,97,35559711
,12.8,6400,51.2,35559565
76,,2400,24,35556736
8,,3200,32,35556412
6,,10400,104,35556278
,9.99,5000,40.01,35553404
25,30,10500,75,35549531
,,2500,25,35544604
,,7021,70.21,35539209
5,,3500,35,
4,,3600,36,35534356
1,,4400,44,35534412
36.25,68.57,13232,63.75,35531386
,,2000,20,35530388
,,2500,25,35529505
15,,2500,25,35528994
1,,900,9,35526873
,,7500,75,35525767
,,3000,30,
3,,4700,47,35521341
,,5300,53,35520361
,,5000,50,35519719
,,4000,40,35530163
,10,5000,40,35519326
64.99,9.99,24500,235.01,35517866
10,,3000,30,35516347
,,1600,16,35509477
3,3.01,3501,32,35503752
1.56,11.56,2500,13.44,35503409
,66.19,16619,100,35503235
,,2500,25,35497214
10,,1000,10,35496885
3,,2700,27,35496234
10,,1000,10,35495390
56,,4400,44,35494242
,,9000,90,35491415
,,2500,25,35489099
5,,3500,35,35485333
15,,6500,65,35484615
,,2000,20,35483394
,6,2600,20,35483299
10,,3000,30,
10,,5000,50,35481160
3,,1700,17,35480388
67.86,,3214,32.14,35479201
8,,11200,112,35478417
12,,2800,28,35477336
1,,5900,59,35476769
3,,8700,87,35474284
4,,1600,16,35473054
,9.99,23000,220.01,35470701
,,7000,70,35469825
,,3000,30,
,47.01,12701,80,35466513
15,,2500,25,35465229
10,,1000,10,35464811
0.78,5.78,7500,69.22,35464967
,9.99,5000,40.01,35462890
4,,1600,16,35462785
,,3500,35,35457555
,,2500,25,35456185
,,2000,20,35451347
,,300,3,35449984
2,,1800,18,35442998
2,,3800,38,35442899
,,5000,50,35442639
12,,6800,68,35440968
5,,1500,15,35438872
70,,3000,30,
,,6000,60,35437002
12,,2800,28,35436292
3,,3700,37,35432816
,3.98,400,0.02,35432620
1,,3900,39,
,188.04,44804,260,35437162
,,2000,20,35430700
5,,4500,45,35430326
,,2500,25,35429609
,,2000,20,35428968
,,17000,170,35428164
,2.34,16275,160.41,35421680
,,2000,20,35421448
,14.98,5500,40.02,35421437
9.86,,5014,50.14,35416924
,12.39,5700,44.61,35421209
,,300,3,35413415
10,,5000,50,35412583
,,3400,34,35412113
,15.06,5506,40,35411574
84,,1600,16,35410325
,,5000,50,35400261
,9.98,1000,0.02,35399840
,,10200,102,35399725
,,1500,15,35398341
4,,1600,16,35397725
,,3000,30,
71,,2900,29,35388580
,,2500,25,35388252
10,,5100,51,35387782
1,,4400,44,35383501
,,3000,30,
,13.2,6600,52.8,35379207
,,4000,40,35364808
14.98,9.98,4500,35.02,35361005
9.78,14.98,4520,30.22,35358771
,9.98,3000,20.02,35358967
,9.98,1000,0.02,35358386
,,500,5,35355702
,9.99,3500,25.01,35355667
14.77,14.98,4021,25.23,35345418
1.48,9.98,2850,18.52,35343982
3.96,34.96,17100,136.04,35339103
9.98,9.98,2000,10.02,35338235
2.84,14.98,9214,77.16,35336662
,14.98,1500,0.02,35335486
26.99,9.99,8300,73.01,35335314
0.28,9.98,16970,159.72,35335613
,,4000,40,
,14.98,3500,20.02,35331553
14.48,14.98,4050,25.52,35329220
9.98,9.98,2000,10.02,35322306
,6,4600,40,35321558
,4.99,3000,25.01,35318640
,24.97,4500,20.03,35318315
9.98,9.98,6000,50.02,35317724
5.99,9.99,9400,84.01,35317029
8.7,4.99,5629,51.3,35315142
45,,5500,55,
4.79,9.99,14520,135.21,35308731
,20.01,6901,49,35305519
,24.97,6600,41.03,35303560
0.97,24.97,12400,99.03,35303599
,4.99,1000,5.01,35300427
9.99,4.99,1500,10.01,35300099
,9.98,1600,6.02,35297671
,4.99,2700,22.01,35293452
,4.99,7000,65.01,35291493
,9.99,3600,26.01,35289849
1.96,29.96,16800,138.04,35289562
0.99,4.99,6900,64.01,35288612
6,,2400,24,35287631
,14.98,1500,0.02,35287271
13.97,29.97,13600,106.03,35286629
,9.98,1000,0.02,35283949
52.98,9.98,15700,147.02,35279878
,4.99,500,0.01,35278251
8.99,4.99,5600,51.01,35277673
,4.99,5500,50.01,35276004
4.99,4.99,7000,65.01,35273361
,9.99,2600,16.01,35271674
,4.99,3000,25.01,35270506
,14.98,5784,42.86,35270017
1.99,4.99,2300,18.01,35267006
3.99,9.99,2600,16.01,35261673
,4.99,1900,14.01,35256858
,9.98,11000,100.02,35254112
,4.99,4500,40.01,35251959
,14.98,3600,21.02,35251566
,4.99,1500,10.01,35249350
3.98,19.98,6100,41.02,35248966
,9.98,1000,0.02,35248338
2.97,19.97,7700,57.03,35250472
14.98,14.98,4000,25.02,35247725
9.99,4.99,5500,50.01,35247481
1.98,9.98,11800,108.02,35246444
80,29.04,4904,20,35246339
,9.99,3800,28.01,35241555
,,3000,30,
3,5.01,5201,47,35239211
,4.99,1299,8,35238072
10,,3000,30,
5,,5500,55,35233574
9.6,,1040,10.4,35232419
,,18000,180,35231175
,,1500,15,
24,,2600,26,35229826
78,,12200,122,35228813
1,,3900,39,35226394
4.39,,9561,95.61,35224601
,,2000,20,35221184
12,,2800,28,35219687
,,2000,20,
1,,3900,39,35217448
,,2000,20,
,,2500,25,35213680
,66.96,21696,150,35209172
,,1700,17,35205920
15,,4500,45,35202590
3,,5200,52,35202179
11.42,,2858,28.58,35202006
,,22550,225.5,35201875
,,2500,25,35200030
,,6000,60,35199921
10,,5000,50,35197808
15,,3500,35,35194355
,,2500,25,35193907
15,,2500,25,35193478
,,11000,110,35189451
,,2500,25,35188688
1,,1900,19,35186928
,,600,6,35184877
5.98,19.98,14400,124.02,35184390
11,,8900,89,35183007
,9.99,5000,40.01,35181619
10,,5000,50,35176997
,,500,5,35171118
,,6000,60,35170833
,,1000,10,35166247
,,500,5,35165914
11.42,,2858,28.58,35165786
,,600,6,35163982
1,,3900,39,35158986
9,,11100,111,35147971
1,,3400,34,35147179
,10,3500,25,35159999
,24,10000,76,35159915
,,2000,20,35140948
10,,3000,30,
,19.98,10000,80.02,35136322
,,2500,25,35130796
,47.04,9704,50,35130656
5,,3500,35,35126270
8,,3200,32,35125157
,,800,8,35122732
5,,1500,15,35122346
,,300,3,35119967
10,,5000,50,35119467
,,2000,20,35119296
,,3000,30,
,9.99,5000,40.01,35118799
15,,2500,25,35118500
5,,1500,15,35118002
,,2500,25,35115667
,,1700,17,35107493
,,500,5,
,,2000,20,35102891
,,2000,20,35100131
8,,24200,242,35099887
10,,1000,10,35097572
5,,3500,35,35091427
15,,4500,45,35088426
,,6000,60,35087214
8,,1200,12,35082794
30.36,,16964,169.64,35080519
5,,9500,95,35079893
3.5,,15650,156.5,35078094
,,3000,30,
1,,4400,44,35076268
10,,5000,50,35072222
,,500,5,
13,,4700,47,35064782
,,2500,25,35064198
,,1000,10,35064202
,,2000,20,35064195
,,3000,30,
,18,7000,52,35051746
1,,3900,39,35050494
,,1500,15,35048193
10,,1000,10,35046709
15,,2500,25,35043744
,,4200,42,35043191
48,,5200,52,35040668
8,,3200,32,35038945
12,9.99,13799,128,35038053
8,,1200,12,35036634
10.01,,2999,29.99,35034382
,,12000,120,35033811
4,,9600,96,35033438
1,,3900,39,35029263
2.99,9.99,10700,97.01,35028859
,,2500,25,35028068
5,,3500,35,35027031
15,,2500,25,35022923
5,,3500,35,
4,,5600,56,35019292
,,7000,70,35019023
,,2500,25,35017579
5,,5500,55,35017469
10,,1000,10,35017197
,,2000,20,35016711
17,,300,3,35009488
10,,1000,10,35007124
74.93,,2507,25.07,35007004
,,2000,20,35005808
,,500,5,
30,,2000,20,35004903
,,5000,50,35003677
,49,12500,76,35000874
10,,5000,50,35000023
4,,3600,36,34994642
,,2000,20,34992490
15,,2500,25,34992184
10,,5000,50,34991886
17.5,,14250,142.5,34989947
,,6200,62,34986083
1,,3400,34,34981624
,,14000,140,34978372
,,2000,20,34977643
5,,11500,115,34975410
,,2500,25,34975038
,,2000,20,34973787
,,3000,30,34973622
,66.12,14612,80,34967433
,23.1,5000,26.9,34966633
,22,18000,158,34966532
10,,9000,90,34963223
15,,2500,25,34960912
,,2000,20,34960532
,,1000,10,34939987
,,2536,25.36,34938667
,,10500,105,34938154
,,54000,540,34935060
,,2000,20,34931860
18.77,5.77,10700,101.23,34931008
,,300,3,34930078
10,,3000,30,
,,3000,30,
16,,2400,24,34926149
5,,8500,85,34925610
16.5,,2350,23.5,34924892
10,,3000,30,34924704
90,,1000,10,34913404
61.73,,13827,138.27,34913325
56.21,,4379,43.79,34910335
,,2500,25,34907242
,,2500,25,34907143
0.5,,2950,29.5,34905263
12,,2800,28,34903645
7.86,,9214,92.14,34901513
,,2514,25.14,34898719
31,,6900,69,34897948
,4.99,2500,20.01,
,,3000,30,34896179
5,,9500,95,34893835
2,2,2000,18,34890431
,67.92,16792,100,34890257
5,,2500,25,34889301
1,,9900,99,34889094
,,6000,60,34886933
,,9000,90,34883901
,,3000,30,
15,,2500,25,34881704
2.86,,3214,32.14,34881086
,9.99,5000,40.01,34877922
15,,6500,65,34876434
21,,13900,139,34874764
10,,5000,50,34873815
1,,11400,114,34873141
,,1600,16,34873832
10,,1000,10,34871628
10,,1200,12,34871530
5,,7500,75,34871459
6,,3400,34,34869957
10,,9000,90,34869868
,,8700,87,34867858
15,,2500,25,34867452
10,,1000,10,34865251
,,36000,360,34864650
,,1000,10,
16,,2400,24,34856265
1,,4900,49,34856274
,,8000,80,34855993
,,4000,40,34855670
17,,300,3,34854392
9.74,,19026,190.26,34849384
16,,4400,44,34847896
55,16,6100,45,34846403
,,11100,111,34843198
10,,3000,30,34841143
,,2000,20,34838388
,,6700,67,34838252
10,,1000,10,34837453
,19.98,10000,80.02,34836144
3.94,,3606,36.06,34835213
,,4400,44,34832562
,9.99,5000,40.01,34831725
80,,2000,20,34832771
,,1200,12,34830795
70,,3000,30,
,,2400,24,34829657
6,,11400,114,34829110
6,,3400,34,34825758
10,,7000,70,34825000
2,,5800,58,34824460
10,,1000,10,34823586
5,,3500,35,34822220
,9.98,14000,130.02,
,,900,9,34817609
4,,9600,96,34816130
2,,300,3,34815548
6,,9400,94,34814917
